dates,NON,OUI
2020-07-06,1,0
2020-07-13,2375,0
2020-07-20,2566,1
2020-07-27,2602,8
2020-08-03,3182,3
2020-08-10,2095,4
2020-08-17,2006,0
2020-08-24,1997,3
2020-08-31,2340,3
2020-09-07,2190,5
2020-09-14,2299,13
2020-09-21,2142,5
2020-09-28,2529,16
2020-10-05,2402,26
2020-10-12,2885,42
2020-10-19,2063,25
2020-10-26,1734,21
2020-11-02,1908,16
2020-11-09,1380,8
2020-11-16,1605,3
2020-11-23,1023,7
2020-11-30,1040,9
2020-12-07,1241,5
2020-12-14,2441,3
2020-12-21,2272,17
2020-12-28,1923,4
2021-01-04,2383,10
2021-01-11,1488,5
2021-01-18,1182,5
2021-01-25,1241,1
2021-02-01,826,6
2021-02-08,8,0
2021-02-15,84,0
2021-02-22,201,0
2021-03-01,300,0
2021-03-08,213,0
2021-03-15,390,1
2021-03-22,207,0
2021-03-29,361,13
2021-04-05,409,4
2021-04-12,225,0
2021-04-19,186,1
2021-04-26,347,2
2021-05-03,1033,0
2021-05-10,1205,0
2021-05-17,1480,1
2021-05-24,1426,1
2021-05-31,1828,5
2021-06-07,2446,5
2021-06-14,3132,1
2021-06-21,3518,3
2021-06-28,4000,2
2021-07-05,4571,5
2021-07-12,4782,3
2021-07-19,5407,6
2021-07-26,5274,14
2021-08-02,5257,22
2021-08-09,3419,10
2021-08-16,3357,18
2021-08-23,1893,15
2021-08-30,2286,3
2021-09-06,2008,6
2021-09-13,2553,3
2021-09-20,2900,4
2021-09-27,3454,2
2021-10-04,3642,3
2021-10-11,3474,1
2021-10-18,4086,1
2021-10-25,4048,5
2021-11-01,4269,4
2021-11-08,3892,6
2021-11-15,3502,3
2021-11-22,3380,1
2021-11-29,2992,4
2021-12-06,3213,11
2021-12-13,4404,38
2021-12-20,4157,78
2021-12-27,3868,68
2022-01-03,4276,125
2022-01-10,3592,129
2022-01-17,2722,77
2022-01-24,2644,37
2022-01-31,2741,41
2022-02-07,2997,77
2022-02-14,3372,55
2022-02-21,3453,44
2022-02-28,4014,27
2022-03-07,4120,30
2022-03-14,4888,21
2022-03-21,4372,31
2022-03-28,8,0
