date,new_cases
2019-11-04,0
2019-11-11,0
2019-11-18,0
2019-11-25,0
2019-12-02,0
2019-12-09,0
2019-12-16,0
2019-12-23,0
2019-12-30,0
2020-01-06,0
2020-01-13,0
2020-01-20,0
2020-01-27,0
2020-02-03,0
2020-02-10,0
2020-02-17,0
2020-02-24,0
2020-03-02,0
2020-03-09,3
2020-03-16,21
2020-03-23,12
2020-03-30,6
2020-04-06,13
2020-04-13,1
2020-04-20,2
2020-04-27,0
2020-05-04,2
2020-05-11,0
2020-05-18,0
2020-05-25,0
2020-06-01,0
2020-06-08,0
2020-06-15,0
2020-06-22,2
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,1
2020-08-03,49
2020-08-10,99
2020-08-17,161
2020-08-24,201
2020-08-31,200
2020-09-07,326
2020-09-14,295
2020-09-21,328
2020-09-28,568
2020-10-05,961
2020-10-12,1359
2020-10-19,1883
2020-10-26,2153
2020-11-02,2034
2020-11-09,1442
2020-11-16,1165
2020-11-23,1069
2020-11-30,838
2020-12-07,562
2020-12-14,585
2020-12-21,351
2020-12-28,305
2021-01-04,290
2021-01-11,304
2021-01-18,203
2021-01-25,173
2021-02-01,105
2021-02-08,74
2021-02-15,63
2021-02-22,61
2021-03-01,64
2021-03-08,62
2021-03-15,41
2021-03-22,24
2021-03-29,26
2021-04-05,26
2021-04-12,41
2021-04-19,32
2021-04-26,24
2021-05-03,29
2021-05-10,25
2021-05-17,31
2021-05-24,17
2021-05-31,29
2021-06-07,43
2021-06-14,31
2021-06-21,24
2021-06-28,16
2021-07-05,13
2021-07-12,95
2021-07-19,286
2021-07-26,1129
2021-08-02,3629
2021-08-09,6961
2021-08-16,7899
2021-08-23,3110
2021-08-30,1602
2021-09-06,901
2021-09-13,330
2021-09-20,239
2021-09-27,178
2021-10-04,80
2021-10-11,67
2021-10-18,35
2021-10-25,32
2021-11-01,28
2021-11-08,8
2021-11-15,15
2021-11-22,11
2021-11-29,23
2021-12-06,11
2021-12-13,60
2021-12-20,104
2021-12-27,195
2022-01-03,374
2022-01-10,510
2022-01-17,425
2022-01-24,881
2022-01-31,3039
2022-02-07,6418
2022-02-14,5860
2022-02-21,3225
2022-02-28,2037
2022-03-07,1206
2022-03-14,698
2022-03-21,532
2022-03-28,280
2022-04-04,124
2022-04-11,86
